Age,Profession,Marrital_Status,Education,No_of_Dependents,Personal_loan,House_Loan,Wife_Working,Salary,Wife_Salary,Total_Salary,Make,Price,Spending_Score
27,Salaried,Single,Post Graduate,0,Yes,No,No,800000,0,800000,i20,800000,39
35,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,1400000,600000,2000000,Ciaz,1000000,81
45,Business,Married,Graduate,4,Yes,Yes,No,1800000,0,1800000,Duster,1200000,6
41,Business,Married,Post Graduate,3,No,No,Yes,1600000,600000,2200000,City,1200000,77
31,Salaried,Married,Post Graduate,2,Yes,No,Yes,1800000,800000,2600000,SUV,1600000,40
28,Salaried,Married,Graduate,3,Yes,Yes,No,900000,0,900000,Baleno,700000,76
31,Salaried,Married,Graduate,4,No,No,Yes,1200000,600000,1800000,City,1200000,6
33,Business,Married,Post Graduate,4,No,No,No,1400000,0,1400000,Baleno,700000,94
34,Business,Married,Post Graduate,4,No,No,No,2000000,0,2000000,Verna,1100000,3
34,Salaried,Married,Graduate,3,Yes,Yes,Yes,1200000,700000,1900000,i20,800000,72
35,Salaried,Married,Post Graduate,4,No,No,Yes,1300000,700000,2000000,SUV,1600000,14
35,Salaried,Married,Graduate,4,Yes,Yes,m,1400000,0,1400000,Baleno,700000,99
29,Salaried,Married,Post Graduate,0,No,No,Yes,900000,800000,1700000,Verna,110000,15
30,Business,Single,Post Graduate,2,Yes,No,No,1400000,0,1400000,i20,800000,77
31,Business,Married,Graduate,3,Yes,Yes,Yes,900000,400000,1300000,Baleno,700000,13
49,Salaried,Married,Post Graduate,4,No,No,Yes,2500000,2000000,4500000,Luxuray,3000000,79
26,Salaried,Single,Post Graduate,0,No,No,No,800000,0,800000,i20,800000,35
27,Salaried,Single,Graduate,0,Yes,No,Yes,800000,0,800000,Baleno,700000,66
29,Salaried,Single,Post Graduate,2,No,No,No,900000,0,900000,City,1200000,29
30,Salaried,Married,Graduate,0,No,No,Yes,800000,500000,1300000,Baleno,700000,98
37,Salaried,Married,Post Graduate,3,No,Yes,Yes,1700000,800000,2500000,City,1200000,35
35,Business,Married,Graduate,3,No,Yes,Yes,1100000,800000,1900000,i20,800000,73
36,Business,Married,Graduate,3,No,No,Yes,1400000,1000000,2400000,SUV,1600000,5
35,Business,Married,Post Graduate,4,No,No,Yes,900000,500000,1400000,Baleno,700000,73
35,Salaried,Married,Graduate,3,Yes,No,Yes,1400000,600000,2000000,Ciaz,1100000,14
35,Salaried,Married,Graduate,2,No,No,Yes,1800000,1100000,2900000,SUV,1600000,82
35,Salaried,Married,Post Graduate,4,Yes,Yes,No,1300000,0,1300000,Baleno,700000,32
36,Business,Married,Graduate,3,No,No,No,1600000,0,1600000,i20,800000,61
36,Salaried,Married,Post Graduate,3,Yes,Yes,Yes,1700000,900000,2600000,Verna,1200000,31
36,Salaried,Married,Post Graduate,2,No,No,Yes,1800000,900000,2700000,SUV,1600000,87
41,Business,Married,Graduate,3,No,No,No,1100000,0,1100000,Baleno,700000,4
41,Salaried,Married,Graduate,3,No,No,Yes,1400000,700000,2100000,Duster,1300000,73
41,Salaried,Married,Post Graduate,4,No,Yes,Yes,1900000,1100000,3000000,Creata,1500000,4
43,Business,Married,Graduate,3,No,No,Yes,1300000,900000,2200000,Creata,1500000,92
42,Salaried,Married,Graduate,4,Yes,Yes,No,2100000,0,2100000,Ciaz,1100000,14
42,Salaried,Married,Post Graduate,3,No,No,Yes,2400000,1300000,3700000,SUV,1600000,81
29,Business,Married,Post Graduate,0,No,No,Yes,900000,700000,1600000,City,1200000,17
30,Salaried,Married,Post Graduate,0,No,No,Yes,1300000,800000,2100000,Creata,1500000,73
30,Business,Single,Post Graduate,0,No,No,No,1400000,0,1400000,SUV,1600000,26
31,Salaried,Married,Graduate,0,No,No,Yes,1400000,800000,2200000,Ciaz,1100000,75
31,Business,Married,Post Graduate,3,Yes,Yes,Yes,1100000,600000,1700000,i20,800000,35
32,Business,Married,Post Graduate,0,No,No,No,1400000,0,1400000,Ciaz,1100000,92
32,Salaried,Married,Graduate,0,No,No,Yes,1600000,800000,2400000,SUV,1600000,36
34,Salaried,Married,Post Graduate,3,No,No,Yes,1400000,900000,2300000,Duster,1300000,61
34,Salaried,Married,Post Graduate,2,Yes,Yes,No,1600000,0,1600000,i20,800000,28
34,Salaried,Married,Graduate,3,No,Yes,Yes,2200000,1400000,3600000,Creata,1500000,65
36,Business,Married,Graduate,4,No,No,No,200000,0,200000,Ciaz,1100000,55
36,Business,Married,Graduate,2,No,Yes,Yes,1500000,1100000,2600000,Duster,1300000,47
36,Salaried,Married,Post Graduate,2,No,Yes,Yes,1100000,500000,1600000,i20,800000,42
36,Salaried,Married,Graduate,3,Yes,No,Yes,2200000,900000,3100000,Creata,1500000,42
49,Business,Married,Post Graduate,4,No,No,No,2000000,0,2000000,Duster,1300000,52
49,Salaried,Married,Post Graduate,3,No,No,Yes,2500000,1800000,4300000,SUV,1600000,60
44,Salaried,Married,Post Graduate,4,No,No,No,2700000,0,2700000,SUV,1600000,54
44,Business,Married,Post Graduate,3,No,No,Yes,2000000,1800000,3800000,Creata,1500000,60
41,Salaried,Married,Graduate,2,No,No,Yes,2900000,1800000,4700000,Luxuray,3000000,45
41,Salaried,Married,Post Graduate,3,Yes,Yes,No,3100000,0,3100000,Creata,1500000,41
41,Salaried,Married,Graduate,3,No,No,No,2600000,0,2600000,Ciaz,1100000,50
27,Salaried,Single,Post Graduate,0,No,No,No,1100000,0,1100000,Baleno,700000,46
27,Business,Single,Graduate,0,No,No,No,1200000,0,1200000,Ciaz,1100000,51
28,Salaried,Single,Graduate,0,Yes,No,No,900000,0,900000,Baleno,700000,46
28,Salaried,Single,Post Graduate,0,No,No,No,1400000,0,1400000,City,1200000,56
30,Salaried,Single,Post Graduate,0,No,No,No,1500000,0,1500000,Creata,1500000,55
31,Business,Single,Graduate,0,No,No,No,2000000,0,2000000,SUV,1500000,52
31,Salaried,Married,Post Graduate,3,Yes,Yes,No,1800000,0,1800000,Baleno,700000,59
31,Salaried,Married,Graduate,2,No,Yes,Yes,1400000,700000,2100000,Ciaz,1100000,51
39,Business,Married,Post Graduate,3,No,No,No,1600000,0,1600000,Baleno,700000,59
39,Business,Married,Graduate,2,Yes,Yes,Yes,2200000,1400000,3600000,Creata,1500000,50
39,Salaried,Married,Post Graduate,2,No,No,No,1900000,0,1900000,City,1200000,48
39,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,2700000,1300000,4000000,Creata,1500000,59
37,Business,Married,Graduate,3,No,No,No,1700000,0,1700000,Verna,1200000,47
37,Business,Married,Post Graduate,2,No,No,Yes,1400000,1300000,2700000,Duster,1500000,55
37,Salaried,Married,Post Graduate,2,No,Yes,Yes,1900000,1300000,3200000,SUV,1600000,42
37,Salaried,Married,Graduate,2,No,No,No,1300000,0,1300000,Baleno,700000,49
35,Salaried,Married,Post Graduate,0,No,No,Yes,1400000,1100000,2500000,SUV,1600000,56
36,Business,Married,Graduate,0,No,No,Yes,1300000,700000,2000000,City,1200000,47
36,Salaried,Married,Post Graduate,2,No,No,Yes,2300000,1300000,3600000,Creata,1500000,54
36,Business,Married,Post Graduate,2,Yes,Yes,No,1900000,0,1900000,i20,800000,53
36,Business,Married,Graduate,3,No,Yes,Yes,1800000,1100000,2900000,SUV,1600000,48
44,Salaried,Married,Post Graduate,3,No,No,No,3100000,0,3100000,Creata,1500000,52
45,Salaried,Married,Post Graduate,2,No,Yes,Yes,2700000,1800000,4500000,SUV,1600000,42
46,Salaried,Married,Graduate,3,Yes,Yes,No,2100000,0,2100000,Baleno,800000,51
44,Business,Married,Graduate,2,No,No,Yes,3100000,2100000,5200000,SUV,1600000,55
43,Salaried,Married,Post Graduate,3,Yes,Yes,No,2400000,0,2400000,Ciaz,1100000,41
42,Salaried,Married,Post Graduate,2,No,Yes,No,2900000,0,2900000,Duster,1300000,44
42,Salaried,Married,Graduate,3,Yes,Yes,No,2700000,0,2700000,i20,800000,57
42,Business,Married,Post Graduate,3,Yes,Yes,No,1800000,0,1800000,Baleno,700000,46
29,Business,Single,Graduate,0,Yes,No,No,1100000,0,1100000,Baleno,700000,58
33,Salaried,Married,Post Graduate,2,No,No,Yes,1400000,800000,2200000,City,1200000,55
34,Salaried,Married,Graduate,2,No,Yes,Yes,2700000,1400000,4100000,Creata,1500000,60
34,Business,Married,Post Graduate,3,Yes,Yes,No,1900000,0,1900000,Baleno,700000,46
35,Salaried,Married,Graduate,2,No,No,No,1400000,0,1400000,i20,800000,55
